Location,Time,s,Y
上海市,1990,0.0313947662769137,0.0313947662769137
上海市,1991,0.0448243799017471,0.03962909617090505
上海市,1992,0.0711172391431994,0.06094577273542092
上海市,1993,0.120224728505217,0.1012273583892801
上海市,1994,0.143327266235696,0.1343899846604183
上海市,1995,0.150139949377361,0.1475044437792085
上海市,1996,0.206023569657711,0.18440483427382842
上海市,1997,0.1928676828782,0.19795707461051365
上海市,1998,0.258925737066215,0.23337099336312994
上海市,1999,0.274028197170354,0.26818576808292016
上海市,2000,0.284518051272222,0.2804600217654336
上海市,2001,0.303064540238811,0.29588977891774165
上海市,2002,0.355597650905041,0.33527506957104714
上海市,2003,0.368577223106289,0.3635560391635328
上海市,2004,0.358649058853991,0.36248979706567813
上海市,2005,0.411662679122876,0.3911542113001919
上海市,2006,0.432851008044529,0.42465424352057873
上海市,2007,0.483691818410456,0.4640239081983182
上海市,2008,0.534269570356908,0.5147034250328109
上海市,2009,0.498881954025872,0.5125717527448722
上海市,2010,0.498696621770729,0.4987683180739022
上海市,2011,0.588164663163571,0.5535537001929739
上海市,2012,0.586671051540558,0.5872488593898387
上海市,2013,0.626408504709409,0.6110359593986879
上海市,2014,0.608605788943582,0.6154928195139909
上海市,2015,0.655652366848755,0.6374522661153603
上海市,2016,0.694895958691176,0.679714465020969
上海市,2017,0.680673950664065,0.6861757743938651
上海市,2018,0.731922276246094,0.7120967176286163
上海市,2019,0.818481802166748,0.784996006571452
上海市,2020,0.889251998029063,0.8618743490911882
上海市,2021,0.910765392825535,0.9024428756553748
云南省,1990,0.0345492478331936,0.0345492478331936
云南省,1991,0.0457857057108327,0.04143885043749534
云南省,1992,0.0936996414845687,0.07516400092484342
云南省,1993,0.121276090635737,0.11060806386804696
云南省,1994,0.131154678592967,0.12733311911019926
云南省,1995,0.145498473725855,0.13994953631230014
云南省,1996,0.192819991028525,0.1745135292173892
云南省,1997,0.190317195638079,0.1912854090608067
云南省,1998,0.230829429769301,0.21515715826829476
云南省,1999,0.259338468323154,0.2483096667270382
云南省,2000,0.272608394552725,0.2674748863390202
云南省,2001,0.340992534874991,0.3145379382210016
