Location,1990-2000,2001-2011,2012-2021
上海市,15.267910128254288,42.87854767074226,70.78530092779343
云南省,14.77984970998752,43.52671243312467,70.81016147021377
内蒙古自治区,14.818845052021118,43.75617167689417,71.85947517365274
北京市,15.153886993934794,44.01784816232942,71.73450489402174
吉林省,14.521712941282097,44.525740516734274,71.78877435344808
四川省,14.731877905292658,44.3532452137739,72.14036935244897
天津市,15.006314790565533,43.74081331959774,71.74266234693584
宁夏回族自治区,14.15243840550376,43.83824930428984,72.28342425665019
安徽省,15.106423427546448,43.11448458727686,69.86867641425775
山东省,14.215679612672865,43.4928284569171,69.31785682442185
山西省,14.576994349989098,43.47412516297374,71.2428793219248
广东省,14.260083864052893,42.98773443589197,71.91657331657461
广西壮族自治区,15.030097094897224,43.79911383249679,70.79038445204783
新疆维吾尔自治区,14.713117020834256,44.580480009234435,71.94965084725257
江苏省,14.70807939017427,44.039340981008564,71.91077094394181
江西省,13.892878379312236,43.44625371372179,69.93035530415958
河北省,14.882414023140717,44.31860267015549,71.58819328499946
河南省,14.825941077084348,43.76538425212778,71.48100701595463
浙江省,14.966216500669764,43.384651748952926,72.45172882538667
海南省,15.182414486806545,43.55825416643438,71.9196957814702
湖北省,14.244687052768022,43.745306064257335,71.1478706809024
湖南省,14.844813432447607,42.11331982850887,71.16469498749385
甘肃省,15.493757915254177,44.555675073957396,72.704531337258
福建省,14.99829116024997,44.101299336996945,70.24787968311743
西藏自治区,15.033043197118786,42.733376610855856,71.7939934036109
贵州省,14.301827088029137,42.33329521869289,71.78787401464463
辽宁省,14.46073570606735,44.48956157078318,72.66715336094185
重庆市,14.924088451441692,43.03726285749797,72.88369354789597
陕西省,15.06476006871817,43.89789182840529,70.72399324572022
青海省,14.453992357923193,44.795656297243845,70.48731831791241
黑龙江省,14.780284222328847,44.22340954292699,71.6392809046429
